Sample,Order,number,,,,,,,,,
0843_LiLa_Met52_5week_LI,isopoda,3,,,,,,,,,
0843_LiLa_Met52_5week_LI,coleoptera,1,,,,,,,,,
0843_LiLa_Met52_5week_LI,diptera,1,,,,,,,,,
0844_LiLa_Met52_5week_FI,aranae,2,,,,,,,,,
0844_LiLa_Met52_5week_FI,isopoda,27,,,,,,,,,
0844_LiLa_Met52_5week_FI,collembola,1,,,,,,,,,
0844_LiLa_Met52_5week_FI,Oribatida,2,,,,,,,,,
0844_LiLa_Met52_5week_FI,diptera,1,,,,,,,,,
0844_LiLa_Met52_5week_FI,coleoptera,3,,,,,,,,,
0845_LiLa_Met52_5week_FO,coleoptera,1,,,,,,,,,
0845_LiLa_Met52_5week_FO,hemiptera,3,,,,,,,,,
0845_LiLa_Met52_5week_FO,hymenoptera,7,,,,,,,,,
0845_LiLa_Met52_5week_FO,diplura,1,,,,,,,,,
0845_LiLa_Met52_5week_FO,aranae,2,,,,,,,,,
0845_LiLa_Met52_5week_FO,isopoda,4,,,,,,,,,
