Sample,Order,number,,,,,,,,,
0474_LiLa_H20_POST_FI,hymenoptera,1,,,,,,,,,
0475_LiLa_H20_POST_FO,collembola,5,,,,,,,,,
0475_LiLa_H20_POST_FO,orthoptera,1,,,,,,,,,
0475_LiLa_H20_POST_FO,aranae,1,,,,,,,,,
0475_LiLa_H20_POST_FO,coleoptera,2,,,,,,,,,
0475_LiLa_H20_POST_FO,Oribatida,3,,,,,,,,,
0475_LiLa_H20_POST_FO,lepidoptera,1,,,,,,,,,
0475_LiLa_H20_POST_FO,hymenoptera,2,,,,,,,,,
0475_LiLa_H20_POST_FO,acari,1,,,,,,,,,
0475_LiLa_H20_POST_FO,isopoda,2,,,,,,,,,
0475_LiLa_H20_POST_FO,pseudoscorpiionidae,1,,,,,,,,,
0476_LiLa_Met52_POST_Li,Oribatida,14,,,,,,,,,
0476_LiLa_Met52_POST_Li,hymenoptera,5,,,,,,,,,
0476_LiLa_Met52_POST_Li,aranae,3,,,,,,,,,
0476_LiLa_Met52_POST_Li,diptera,1,,,,,,,,,
0476_LiLa_Met52_POST_Li,collembola,12,,,,,,,,,
0476_LiLa_Met52_POST_Li,hemiptera,3,,,,,,,,,
0476_LiLa_Met52_POST_Li,acari,5,,,,,,,,,
0476_LiLa_Met52_POST_Li,isopoda,1,,,,,,,,,
0477_LiLa_Met52_POST_LO,collembola,16,,,,,,,,,
0477_LiLa_Met52_POST_LO,diptera,3,,,,,,,,,
0477_LiLa_Met52_POST_LO,hemiptera,1,,,,,,,,,
0477_LiLa_Met52_POST_LO,aranae,7,,,,,,,,,
0477_LiLa_Met52_POST_LO,hymenoptera,2,,,,,,,,,
0477_LiLa_Met52_POST_LO,thysanoptera,1,,,,,,,,,
0478_LiLa_Met52_POST_FI,hymenoptera,10,,,,,,,,,
0478_LiLa_Met52_POST_FI,isopoda,6,,,,,,,,,
0478_LiLa_Met52_POST_FI,collembola,6,,,,,,,,,
0478_LiLa_Met52_POST_FI,hemiptera,2,,,,,,,,,
0478_LiLa_Met52_POST_FI,Oribatida,2,,,,,,,,,
0478_LiLa_Met52_POST_FI,aranae,3,,,,,,,,,
0478_LiLa_Met52_POST_FI,opilionidae,1,,,,,,,,,
0478_LiLa_Met52_POST_FI,thysanoptera,1,,,,,,,,,
0480_BF_Met52_POST_LO,collembola,6,,,,,,,,,
0480_BF_Met52_POST_LO,isopoda,5,,,,,,,,,
0480_BF_Met52_POST_LO,diptera,9,,,,,,,,,
0480_BF_Met52_POST_LO,acari,7,,,,,,,,,
0480_BF_Met52_POST_LO,coleoptera,1,,,,,,,,,
0480_BF_Met52_POST_LO,hymenoptera,7,,,,,,,,,
0480_BF_Met52_POST_LO,lithobiomorpha,1,,,,,,,,,
0481_BF_Met52_POST_LI,diptera,3,,,,,,,,,
0481_BF_Met52_POST_LI,opilionidae,3,,,,,,,,,
0481_BF_Met52_POST_LI,acari,1,,,,,,,,,
0481_BF_Met52_POST_LI,Oribatida,5,,,,,,,,,
0481_BF_Met52_POST_LI,coleoptera,3,,,,,,,,,
0481_BF_Met52_POST_LI,homoptera,1,,,,,,,,,
0481_BF_Met52_POST_LI,isopoda,6,,,,,,,,,
0481_BF_Met52_POST_LI,collembola,9,,,,,,,,,
0481_BF_Met52_POST_LI,hymenoptera,8,,,,,,,,,
0481_BF_Met52_POST_LI,aranae,1,,,,,,,,,
0481_BF_Met52_POST_LI,hemiptera,2,,,,,,,,,
0481_BF_Met52_POST_LI,lepidoptera,1,,,,,,,,,
0481_BF_Met52_POST_LI,chilopoda,1,,,,,,,,,
0481_BF_Met52_POST_LI,neuroptera,1,,,,,,,,,
0482_BF_Met52_POST_FI,Oribatida,7,,,,,,,,,
0482_BF_Met52_POST_FI,hemiptera,1,,,,,,,,,
0482_BF_Met52_POST_FI,acari ,5,,,,,,,,,
0482_BF_Met52_POST_FI,isopoda,2,,,,,,,,,
0482_BF_Met52_POST_FI,collembola,5,,,,,,,,,
0482_BF_Met52_POST_FI,aranae,3,,,,,,,,,
0482_BF_Met52_POST_FI,Diptera,2,,,,,,,,,
0482_BF_Met52_POST_FI,hymenoptera,2,,,,,,,,,
0482_BF_Met52_POST_FI,coleoptera,2,,,,,,,,,
0483_BF_Met52_POST_FO,diptera,2,,,,,,,,,
0483_BF_Met52_POST_FO,acari,8,,,,,,,,,
0483_BF_Met52_POST_FO,isopoda,2,,,,,,,,,
0483_BF_Met52_POST_FO,collembola,1,,,,,,,,,
0483_BF_Met52_POST_FO,coleoptera,2,,,,,,,,,
0483_BF_Met52_POST_FO,hymenoptera,1,,,,,,,,,
0483_BF_Met52_POST_FO,aranae,1,,,,,,,,,
0484_BF_H20_POST_LO,Collembola,3,,,,,,,,,
0484_BF_H20_POST_LO,acari,1,,,,,,,,,
0484_BF_H20_POST_LO,isopoda,1,,,,,,,,,
0484_BF_H20_POST_LO,hemiptera,1,,,,,,,,,
0484_BF_H20_POST_LO,aranae,3,,,,,,,,,
0484_BF_H20_POST_LO,hymenoptera,9,,,,,,,,,
0484_BF_H20_POST_LO,Oribatida,3,,,,,,,,,
0484_BF_H20_POST_LO,orthoptera,2,,,,,,,,,
0485_BF_H20_POST_LI,hymenoptera,3,,,,,,,,,
0485_BF_H20_POST_LI,Oribatida,4,,,,,,,,,
0485_BF_H20_POST_LI,opilionidae,2,,,,,,,,,
0485_BF_H20_POST_LI,aranae,1,,,,,,,,,
0485_BF_H20_POST_LI,acari,4,,,,,,,,,
0485_BF_H20_POST_LI,collembola,10,,,,,,,,,
0485_BF_H20_POST_LI,hemiptera,1,,,,,,,,,
0485_BF_H20_POST_LI,diptera,1,,,,,,,,,
0485_BF_H20_POST_LI,isopoda,2,,,,,,,,,
0486_BF_H20_POST_FI,collembola,5,,,,,,,,,
0486_BF_H20_POST_FI,acari,3,,,,,,,,,
0486_BF_H20_POST_FI,isopoda,4,,,,,,,,,
0486_BF_H20_POST_FI,coleoptera,2,,,,,,,,,
0486_BF_H20_POST_FI,polydesmida,1,,,,,,,,,
0486_BF_H20_POST_FI,hymenoptera,3,,,,,,,,,
0486_BF_H20_POST_FI,aranae,3,,,,,,,,,
0486_BF_H20_POST_FI,diptera,1,,,,,,,,,
0487_BF_H20_POST_FO,lithobiomorpha,1,,,,,,,,,
0487_BF_H20_POST_FO,diptera,7,,,,,,,,,
0487_BF_H20_POST_FO,Oribatida,16,,,,,,,,,
0487_BF_H20_POST_FO,orthoptera,4,,,,,,,,,
0487_BF_H20_POST_FO,collembola,3,,,,,,,,,
0487_BF_H20_POST_FO,hymenoptera,4,,,,,,,,,
0487_BF_H20_POST_FO,acari,5,,,,,,,,,
0487_BF_H20_POST_FO,diplopoda,3,,,,,,,,,
0487_BF_H20_POST_FO,hemiptera,1,,,,,,,,,
0487_BF_H20_POST_FO,geophilomorpha,1,,,,,,,,,
0487_BF_H20_POST_FO,lepidoptera,2,,,,,,,,,
0487_BF_H20_POST_FO,isopoda,2,,,,,,,,,
0488_FGL_H2O_POST_LO,collembola,7,,,,,,,,,
0488_FGL_H2O_POST_LO,hymenoptera,8,,,,,,,,,
0488_FGL_H2O_POST_LO,isopoda,2,,,,,,,,,
0488_FGL_H2O_POST_LO,diptera,1,,,,,,,,,
0488_FGL_H2O_POST_LO,aranae,1,,,,,,,,,
0488_FGL_H2O_POST_LO,orthoptera,1,,,,,,,,,
0489_FGL_H2O_POST_LI,hymenoptera,76,,,,,,,,,
0489_FGL_H2O_POST_LI,diptera,8,,,,,,,,,
0489_FGL_H2O_POST_LI,acari,2,,,,,,,,,
0489_FGL_H2O_POST_LI,coleoptera,2,,,,,,,,,
0489_FGL_H2O_POST_LI,collembola,4,,,,,,,,,
0489_FGL_H2O_POST_LI,isopoda,1,,,,,,,,,
0489_FGL_H2O_POST_LI,Oribatida,2,,,,,,,,,
0490_FGL_H2O_POST_FI,collembola,12,,,,,,,,,
0490_FGL_H2O_POST_FI,aranae,4,,,,,,,,,
0490_FGL_H2O_POST_FI,hemiptera,2,,,,,,,,,
0490_FGL_H2O_POST_FI,coleoptera,2,,,,,,,,,
0490_FGL_H2O_POST_FI,Oribatida,4,,,,,,,,,
0490_FGL_H2O_POST_FI,hymenoptera,2,,,,,,,,,
0490_FGL_H2O_POST_FI,isopoda,3,,,,,,,,,
0490_FGL_H2O_POST_FI,diptera,2,,,,,,,,,
0490_FGL_H2O_POST_FI,acari,4,,,,,,,,,
0491_FGL_H2O_POST_FO,collembola,8,,,,,,,,,
0491_FGL_H2O_POST_FO,isopoda,7,,,,,,,,,
0491_FGL_H2O_POST_FO,acari,6,,,,,,,,,
0491_FGL_H2O_POST_FO,coleoptera,14,,,,,,,,,
0491_FGL_H2O_POST_FO,aranae,1,,,,,,,,,
0491_FGL_H2O_POST_FO,Oribatida,2,,,,,,,,,
0491_FGL_H2O_POST_FO,diptera,8,,,,,,,,,
0491_FGL_H2O_POST_FO,orthoptera,1,,,,,,,,,
0492_FGL_Met52_POST_LO,collembola,14,,,,,,,,,
0492_FGL_Met52_POST_LO,coleoptera,4,,,,,,,,,
0492_FGL_Met52_POST_LO,Oribatida,2,,,,,,,,,
0492_FGL_Met52_POST_LO,aranae,5,,,,,,,,,
0492_FGL_Met52_POST_LO,opilionidae,1,,,,,,,,,
0492_FGL_Met52_POST_LO,isopoda,1,,,,,,,,,
0492_FGL_Met52_POST_LO,diptera,2,,,,,,,,,
0492_FGL_Met52_POST_LO,hymenoptera,3,,,,,,,,,
0492_FGL_Met52_POST_LO,hemiptera,3,,,,,,,,,
